,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Avg. Features,Stability 1,Stab. 1 Var.,Stability 2,Stab. 2 Var.,Stability 3,Stab. 3 Var.,Stability 4,Stab. 4 Var.,Stability 5,Stab. 5 Var.,Loose Stab.,Loose Stab. Var.,Loose Stab. 5,Loose Stab. 5 Var.
1,standard-normal,Perturbed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,standard-normal,Single Blind,0.5747368421052649,0.01869483041182409,0.6592938332039568,0.02412731359983987,0.8713043478260828,0.037013346163025575,0.08455699109869426,0.0022763590924450424,0.29656750572082397,0.03751832624107731,0,-1,0,0,0,0,0,0,0,0,0,0,2,2,2,2
3,standard-normal,Double Blind,0.5833928571428554,0.025834864882826696,0.6628239258926275,0.03062561916642901,0.8747826086956543,0.03952252330748452,0.07943106874977095,0.002011646685868501,0.2913897515527958,0.03756951430589652,0,-1,0,0,0,0,0,0,0,0,0,0,2,2,2,2
4,normal,Perturbed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,normal,Single Blind,0.5747368421052649,0.01869483041182409,0.6592938332039568,0.02412731359983987,0.8713043478260828,0.037013346163025575,0.08455699109869426,0.0022763590924450424,0.29656750572082397,0.03751832624107731,0,-1,0,0,0,0,0,0,0,0,0,0,2,2,2,2
6,normal,Double Blind,0.5833928571428554,0.025834864882826696,0.6628239258926275,0.03062561916642901,0.8747826086956543,0.03952252330748452,0.07943106874977095,0.002011646685868501,0.2913897515527958,0.03756951430589652,0,-1,0,0,0,0,0,0,0,0,0,0,2,2,2,2
