,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,Metric,Approach,Distribution,N Important,Stability 5,Stability N/2,Feat 1 Stab,Feat 2 Stab,Feat 3 Stab,Feat 4 Stab,Feat 5 Stab,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
1,Old Approach,BARBE,normal,13,0.5308897243107779,0.5533440623794225,0.8052631578947368,0.21578947368421053,0.12105263157894737,0.12105263157894737,0.14736842105263157,0.28378378378378377,0,0.09309309309309309,0.49699699699699695,0,0,0,0.21771771771771772,0.01951951951951952,0,0.13063063063063063,0,0.3063063063063063,0.3978978978978979,0,0,0,0,0,0,0.2942942942942943,0,0.19819819819819817,0.6051051051051051,0,0.11411411411411411,0,0,0,0
2,Old Approach,BARBE,normal,13,0,0,0,0,0,0,0,0,0,0.03453453453453453,0.25075075075075076,0,0,0.09309309309309309,0,0,0,0.1036036036036036,0,0,0.42492492492492495,0,0,0,0,0,0.021021021021021023,0.40240240240240244,0,0.3408408408408408,0.5570570570570571,0,0,0.21771771771771772,0.2057057057057057,0.1111111111111111,0
3,Old Approach,BARBE,normal,13,0,0,0,0,0,0,0,0.0945945945945946,0,0,0.22672672672672672,0,0,0,0,0,0,0.20870870870870872,0.012012012012012012,0.25225225225225223,0.24924924924924924,0,0.03153153153153153,0,0.012012012012012012,0,0,0.3048048048048048,0,0.22072072072072074,0.8333333333333334,0,0.015015015015015015,0,0.22822822822822822,0,0.015015015015015015
4,Old Approach,BARBE,normal,11,0,0,0,0,0,0,0,0,0,0,0.1816816816816817,0,0,0,0.08858858858858859,0,0,0.2057057057057057,0,0.24024024024024027,0.23123123123123124,0,0,0,0,0,0,0.4099099099099099,0,0.2042042042042042,0.6531531531531531,0.0915915915915916,0,0,0.1111111111111111,0,0
5,Old Approach,BARBE,normal,8,0,0,0,0,0,0,0,0.03753753753753754,0,0.23723723723723722,0.43843843843843844,0,0,0.1981981981981982,0.10510510510510511,0,0,0.20120120120120122,0,0.20120120120120122,0.2957957957957958,0,0,0,0,0,0,0.14564564564564564,0,0.24774774774774774,0.7462462462462461,0,0,0.10810810810810811,0.0945945945945946,0,0
6,Old Approach,BARBE,normal,14,0,0,0,0,0,0,0,0.2522522522522523,0,0,0.33333333333333337,0,0.01951951951951952,0,0,0.20270270270270271,0.01951951951951952,0.08858858858858859,0,0.1006006006006006,0.4009009009009009,0,0,0,0,0,0,0.10960960960960961,0.0915915915915916,0.23873873873873874,0.33483483483483484,0.1006006006006006,0.1036036036036036,0.11411411411411411,0.21021021021021022,0,0.1066066066066066
7,Old Approach,BARBE,normal,13,0,0,0,0,0,0,0,0.2147147147147147,0,0.13513513513513514,0.22822822822822822,0,0,0,0.1066066066066066,0,0,0.3063063063063063,0,0.5015015015015014,0.3768768768768769,0,0,0,0.0915915915915916,0,0,0.14264264264264265,0,0.0990990990990991,0.8288288288288288,0,0.09759759759759759,0,0,0,0
8,Old Approach,BARBE,normal,8,0,0,0,0,0,0,0,0.024024024024024024,0,0,0.5330330330330331,0,0,0.10510510510510511,0.1966966966966967,0,0,0.4219219219219219,0,0.1906906906906907,0.1966966966966967,0,0,0,0,0.018018018018018018,0,0.10810810810810811,0,0.1996996996996997,0.8123123123123123,0,0.1021021021021021,0,0.2042042042042042,0,0
9,Old Approach,BARBE,normal,13,0,0,0,0,0,0,0,0.0945945945945946,0.0990990990990991,0,0.6066066066066066,0,0,0.1021021021021021,0.18768768768768768,0,0,0.29429429429429427,0,0.1996996996996997,0.21771771771771772,0,0,0,0,0,0,0.3408408408408408,0,0.09309309309309309,0.6126126126126126,0,0,0,0.2147147147147147,0,0
10,Old Approach,BARBE,normal,12,0,0,0,0,0,0,0,0.15465465465465464,0.1921921921921922,0,0.23573573573573575,0,0,0,0.1036036036036036,0,0,0.1936936936936937,0,0.09309309309309309,0.5,0,0,0,0,0,0,0.3048048048048048,0.1036036036036036,0.1966966966966967,0.8723723723723723,0,0.1066066066066066,0.08708708708708708,0,0,0
11,Old Approach,BARBE,normal,14,0,0,0,0,0,0,0,0,0,0,0.20120120120120122,0,0,0.2057057057057057,0.10510510510510511,0,0,0.2057057057057057,0,0.0990990990990991,0.506006006006006,0,0,0,0,0,0,0.1006006006006006,0.08408408408408409,0.3003003003003003,0.7177177177177176,0,0.1021021021021021,0.0945945945945946,0.10960960960960961,0,0
12,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,0.015015015015015015,0.0990990990990991,0.015015015015015015,0.018018018018018018,0,0.1021021021021021,0.10960960960960961,0,0,0,0.3123123123123123,0,0,0.3048048048048048,0.1021021021021021,0,0,0,0,0,0.19819819819819817,0.10510510510510511,0.4069069069069069,0.6411411411411412,0.10960960960960961,0,0,0.09309309309309309,0.10960960960960961,0
13,Old Approach,BARBE,normal,11,0,0,0,0,0,0,0,0.0960960960960961,0,0.1006006006006006,0.49249249249249244,0,0,0,0,0,0,0.1006006006006006,0,0.1066066066066066,0.4954954954954955,0,0,0,0,0,0,0.3048048048048048,0.1021021021021021,0.3063063063063063,0.6921921921921922,0,0.1006006006006006,0,0,0,0
