,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Avg. Features,Stability 1,Stab. 1 Var.,Stability 2,Stab. 2 Var.,Stability 3,Stab. 3 Var.,Stability 4,Stab. 4 Var.,Stability 5,Stab. 5 Var.,Loose Stab.,Loose Stab. Var.,Loose Stab. 5,Loose Stab. 5 Var.
1,normal,Perturbed,0.8679473684210526,0.013313024182076803,0.8679473684210526,0.013313024182076803,0.8679473684210526,0.013313024182076803,0.8679473684210526,0.013313024182076803,0.8679473684210526,0.013313024182076803,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,normal,Single Blind,0.8339420200625628,0.000641260645152298,0.8387771129717353,0.001039992057856168,0.8613203367301727,0.013439018945640509,0.0048350929091723425,7.763378143319301e-05,0.02737831666760949,0.009138937461919421,0,-1,0,0,0,0,0,0,0,0,0,0,2,2,2,2
3,normal,Double Blind,0.836436762576002,0.0007889813272402718,0.8412027978455313,0.0012160080678828027,0.862754471468881,0.013943107893581436,0.004766035269529477,7.223468558709165e-05,0.026317708892878836,0.00900546955292837,0,-1,0,0,0,0,0,0,0,0,0,0,2,2,2,2
