,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,Metric,Approach,Distribution,N Important,Stability 5,Stability N/2,Feat 1 Stab,Feat 2 Stab,Feat 3 Stab,Feat 4 Stab,Feat 5 Stab,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89
1,Old Approach,BARBE,normal,11,0.09074770258980769,0.33719507340967786,0.05263157894736842,0.08421052631578947,0.042105263157894736,0.042105263157894736,0.042105263157894736,16.67830728009062,12.122359408964257,14.068497975864375,12.769722992761672,16.67830728009062,0,0,0,20.160173714838436,20.160173714838436,14.327296706932552,0,0,16.67830728009062,14.160199937396671,14.068497975864375,0.0,14.328163582030015,14.996551998171421,12.769722992761674,12.600334573743524,13.419110484313023,9.061429435946998,9.061429435946998,-12.769722992761674,12.769722992761672,0,0,0,0.0,0,12.769722992761672,8.024138481724629,13.384910197145429,-11.474995825166843,12.769722992761674,0.0,0.0,-16.479605189557528,12.769722992761674,9.061429435946998,-16.67830728009062,0,0,0
2,Old Approach,BARBE,normal,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,22.203515318904824,20.719629949792978,0,0,0,7.428723892818767,0,0,0.0,0,0,-10.049017023671553,0,0,0,0,0,0,0,0,0,0,0,0,0,10.049017023671553,0,0,0,0,17.26092894083615,10.049017023671553,0.0,0,7.428723892818767,0,0,7.428723892818767
3,Old Approach,BARBE,normal,14,0,0,0,0,0,0,0,-12.466560967249565,0,19.93057662532615,18.000218635885446,22.74753250906754,0,0.0,0,0.0,12.56422017097995,0,0,12.466560967249563,0,2.1636535947375712,-15.88076838828859,-8.738943243272514,12.038479611437355,0,10.205525200960755,0,0,0,0,12.661879374710338,0,0,0,0,0,-12.66187937471034,0.0,0,0,0,0,13.204372592033527,0,0.0,0,0.0,0,10.205525200960755,0.0,0
4,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,9.651938447792759,8.259565040596954,7.437494358316733,12.450520377581483,0,0,16.114274740104403,20.935148653585067,20.935148653585067,12.2684961257996,12.4322689886702,11.048911781488641,-8.259565040596954,12.677212781434111,0,-12.450520377581483,0,-8.259565040596954,10.583254003590014,0,-9.18781397872749,8.955751744194856,11.709585874320082,8.259565040596954,0,8.259565040596954,-11.048911781488641,-11.048911781488641,0,0,-7.437494358316733,-9.651938447792759,-11.048911781488641,3.3420173461765,11.709585874320082,10.117596225691386,11.749716079535062,12.450520377581483,11.709585874320082,0,0,0,-12.677212781434113,8.259565040596954,0.0
5,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,12.611860075287979,-12.575187880739861,0,-14.245649146738996,0,27.906879233438815,-10.77453148179848,0.0,-10.901628766831081,20.890975473606556,4.270551294671932,15.512771517794357,0.0,17.855116937863563,13.311525117805248,0,8.993496214522656,0,0,12.368130084556705,10.901628766831081,0,8.530954931747601,-0.7582971150723763,0,0,-9.764183094222517,0.7416073161447612,0,0,9.764183094222517,0,13.311525117805248,-10.647434196765877,-11.915410539786832,-14.40247232113046,9.764183094222517,12.366518030897735,8.993496214522656,8.530954931747601,0,9.843612867801774,0,0,9.764183094222517
6,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,0,16.841627117660433,15.635918928915316,11.445904482058221,12.365767789592445,17.326780885878936,15.717897783870411,13.592252199638075,0,0,0,0,0,-14.310338992494055,-14.931391961019678,-17.68331753766963,0.0,8.438423927997205,-12.2435754911046,16.965734685874054,15.635918928915316,0,0,-15.635918928915318,0,0,0,16.511865181343342,11.445904482058221,15.747677073708884,17.326780885878936,17.326780885878936,13.78871479120115,8.438423927997205,7.320425397258327,0,19.428676525261668,13.872731543693513,0,-16.300826807394685,-20.62793390300856,10.868822599929386,0.0,-7.320425397258328,0.0
7,Old Approach,BARBE,normal,17,0,0,0,0,0,0,0,0,0,0,-9.968130378194683,2.708511248155704,0,-14.008186595473388,28.20027059005747,35.47074901347029,10.848424268149328,14.651390437124974,11.656716463356515,7.2172008402132,0,-0.05026960314569351,8.123882658609029,13.24203508689705,10.271023020840403,11.289480197812768,10.824671148670078,-9.234551097477913,0,9.251486552795784,10.271023020840403,10.762266730227598,7.2172008402132,0,7.2172008402132,-9.251486552795784,10.271023020840403,0,0,-12.511818266807268,-15.9751465421419,0,-12.38327036368219,-11.182928054819737,10.271023020840403,8.123882658609029,-17.828271768538983,11.572842146325002,10.848424268149328,10.848424268149328,9.197452839724715,0.0
8,Old Approach,BARBE,normal,13,0,0,0,0,0,0,0,14.06312177464435,15.114480724173006,0,16.3971001585478,18.019328234660275,17.06533720496485,18.97837919301992,0,0,8.543353813923588,0.0,11.282438392819813,8.543353813923588,12.87781144846197,14.06312177464435,0,14.06312177464435,9.853680723081562,10.673954996056324,0,-10.013589286572937,0,10.013589286572937,0,0,0,0,0,0,0,-11.282438392819813,0,21.48927386665735,18.97837919301992,21.48927386665735,0,0,18.97837919301992,10.673954996056324,9.853680723081562,0,10.013589286572937,0,-13.831861289798214,0.0
9,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,0,0,0,0,24.552637187467617,0,25.63447787850527,25.63447787850527,0.0,0,9.564008698059284,0.0,0,0,0,-11.085688358871511,9.839032192726743,9.205350141843155,10.53701837713129,11.493370950343845,11.765159344658734,11.765159344658734,0,-9.690986841100777,0,0,-9.205350141843155,0.2616330271363454,0,9.564008698059284,0.0,0.0,9.564008698059284,0,0,-11.321917458540327,-11.281424596677383,9.839032192726743,0.0,0,0,-1.0872870782930333,12.419823420431424,0,10.53701837713129
