,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Stability 1,Stab. 1 Var.,Stability 2,Stab. 2 Var.,Stability 3,Stab. 3 Var.,Stability 4,Stab. 4 Var.,Stability 5,Stab. 5 Var.,Loose Stab.,Loose Stab. Var,,
1,normal,Perturbed,0.9927196407500941,1.2895651968201961e-05,0.9927196407500941,1.2895651968201961e-05,0.9927196407500941,1.2895651968201961e-05,0.9927196407500941,1.2895651968201961e-05,0.9927196407500941,1.2895651968201961e-05,1.0,0.9454545454545454,0.00892561983471075,0.9454545454545454,0.00892561983471075,0.9454545454545454,0.00892561983471075,0.9454545454545454,0.00892561983471075,0.9454545454545454,0.00892561983471075,0.9652892561983472,0.0036145072057919593,0.9515151515151515,0.007052341597796148
2,normal,Single Blind,0.5972222222222222,0.026711744639376214,0.5666723741178855,0.02604743363393349,0.5181159420289855,0.07140044108380592,-0.030549848104336697,0.0037354048382855108,-0.07910628019323672,0.04566335531382542,0,0,0,0,0,0,0,0,0,0,0,2,2,2.0,2.0
3,normal,Double Blind,0.6279761904761906,0.03063881802721088,0.6111628877255194,0.027202668286017518,0.5797101449275363,0.057340894770006284,-0.016813302750671166,0.0035806658080047905,-0.04826604554865425,0.07180476455705154,0,0,0,0,0,0,0,0,0,0,0,2,2,2.0,2.0
