,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Avg. Features,Stability,Stability Var.,Loose Stab.,Loose Stab. Var.
1,standard-normal,Perturbed,0.8408125,0.0010062958333333326,0.8408125,0.0010062958333333326,0.8408125,0.0010062958333333326,0.8408125,0.0010062958333333326,0.8408125,0.0010062958333333326,0.5333333333333333,8.125,0.45220572940272136,0.07953105217350512,0.6227867205545777,0.024470691148574406
2,standard-normal,Single Blind,0.35704495614035087,0.0003457594323894532,0.2536214175086367,0.00025536834714814005,0.024456521739130425,5.5135475740390665e-05,-0.1034235386317142,0.00018741760299255516,-0.33258843440122043,0.000481145353082806,0,-1,1,1,2,2
3,standard-normal,Double Blind,0.33482142857142855,0.00039328231292517,0.24191018659385824,0.00031485683415627327,0.024456521739130432,0.000496219281663516,-0.09291124197757034,6.531081568451587e-05,-0.3103649068322982,0.0007601020086673616,0,-1,1,1,2,2
4,normal,Perturbed,0.7840909090909091,0.00739289090909091,0.7840909090909091,0.00739289090909091,0.7840909090909091,0.00739289090909091,0.7840909090909091,0.00739289090909091,0.7840909090909091,0.00739289090909091,0.36666666666666664,9.545454545454545,0.5195366294661059,0.022974649730467523,0.6505980457658566,0.0076655055528003346
5,normal,Single Blind,0.7005582137161084,0.03593736884076219,0.6668565708999339,0.055082266374555364,0.5909090909090909,0.12966145385805117,-0.0337016428161745,0.002409407782128704,-0.10964912280701755,0.03178311990427766,0,-1,1,1,2,2
6,normal,Double Blind,0.7077922077922079,0.03451994434137291,0.6802622400708349,0.049620589685569885,0.6086956521739131,0.11379962192816635,-0.027529967721372926,0.0016973334512686178,-0.09909655561829474,0.025804038319228707,0,-1,1,1,2,2
