,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Stability,Stability Var.,Loose Stab.,Loose Stab. Var.
1,normal,Perturbed,0.8340000000000001,0.0027379999999999965,0.8340000000000001,0.0027379999999999965,0.8340000000000001,0.0027379999999999965,0.8340000000000001,0.0027379999999999965,0.8340000000000001,0.0027379999999999965,0.6666666666666666,0.42879420120697026,0.038963686660770255,0.6151680330251759,0.007736541457932033
2,normal,Single Blind,0.3508771929824561,3.847337642351468e-05,0.2485394058974184,8.936814118351174e-05,0.021739130434782608,0.0,-0.10233778708503774,0.00024511545564993604,-0.3291380625476735,3.847337642351468e-05,0,0,0,0,0
3,normal,Double Blind,0.32589285714285715,3.985969387755074e-05,0.23614553773165642,3.9420424574578203e-07,0.021739130434782608,0.0009451795841209829,-0.08974731941120075,4.818178827406366e-05,-0.3041537267080745,0.0005968405202345609,0,0,0,0,0
