,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Stability,Stability Var.,Loose Stab.,Loose Stab. Var.
1,standard-normal,Perturbed,0.8377752531092542,0.0005038641250120852,0.8377752531092542,0.0005038641250120852,0.8377752531092542,0.0005038641250120852,0.8377752531092542,0.0005038641250120852,0.8377752531092542,0.0005038641250120852,0.7,0.25136517660198937,0.00015023158710687274,0.5004460486603344,3.7009192534347065e-05
2,standard-normal,Single Blind,0.5168128654970761,0.0031198702164768645,0.4272919840415791,0.003985219936447516,0.25103519668737057,0.015310784048969305,-0.08952088145549685,0.0006421749721911158,-0.26577766880970544,0.011299488488685427,0,1,1,2,2
3,standard-normal,Double Blind,0.5212585034013605,0.0037506073858114665,0.4417013529975526,0.005114208310133478,0.2712215320910973,0.01756233684400036,-0.07955715040380788,0.0006395411493929518,-0.2500369713102633,0.011410178775804134,0,1,1,2,2
4,normal,Perturbed,0.8619244055346686,0.000806829618156241,0.8619244055346686,0.000806829618156241,0.8619244055346686,0.000806829618156241,0.8619244055346686,0.000806829618156241,0.8619244055346686,0.000806829618156241,0.9,0.4167374717876851,0.004512370184806693,0.6925114341606933,0.00032203944970333825
5,normal,Single Blind,0.8678525016244314,0.0017396597594350747,0.860545825840566,0.0027822058038098753,0.8719806763285024,0.0053105763171925734,-0.007306675783865429,0.00016315729942945116,0.004128174704070951,0.0015960988290121393,0,1,1,2,2
6,normal,Double Blind,0.871693121693122,0.002171728734228734,0.875582191677347,0.002954530934458283,0.9033816425120771,0.007464495177160589,0.0038890699842251747,0.00016499118842682223,0.031688520818955596,0.005551842109616216,0,1,1,2,2
