,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Stability,Stability Var.,Loose Stab.,Loose Stab. Var.
1,standard-normal,Perturbed,0.855423076923077,0.0002498538461538466,0.855423076923077,0.0002498538461538466,0.855423076923077,0.0002498538461538466,0.855423076923077,0.0002498538461538466,0.855423076923077,0.0002498538461538466,0.8666666666666667,0.1539909889258403,0.000746628434834443,0.4286938312012583,7.172315061284462e-05
2,standard-normal,Single Blind,0.5013495276653172,0.007440780595212728,0.41879900024443867,0.008673514423331592,0.24832775919732444,0.01932601425039988,-0.08255052742087837,0.0004738046249678263,-0.25302176846799274,0.00782236018035415,0,1,1,2,2
3,standard-normal,Double Blind,0.5037774725274727,0.009312328296703299,0.4292720038841518,0.011545253910692334,0.26588628762541805,0.029841500654355105,-0.0745054686433206,0.0004809169406281779,-0.23789118490205446,0.012609395124015868,0,1,1,2,2
4,normal,Perturbed,0.8631666666666667,0.000691798850574714,0.8631666666666667,0.000691798850574714,0.8631666666666667,0.000691798850574714,0.8631666666666667,0.000691798850574714,0.8631666666666667,0.000691798850574714,1.0,0.2610963498245992,0.0022522843850017677,0.5926613790250155,0.00025664626792838013
5,normal,Single Blind,0.8761695906432748,0.002592221125509883,0.8673639203187977,0.004095609884195959,0.8630434782608692,0.011135193272928752,-0.00880567032447723,0.0002213054043855519,-0.01312611238240529,0.0036442980618700766,0,1,1,2,2
6,normal,Double Blind,0.867857142857143,0.00326244722026742,0.8683042340975701,0.004700797647605302,0.8811594202898548,0.015374921235034662,0.00044709124042721464,0.00023153391004727958,0.013302277432712199,0.008827987431528244,0,1,1,2,2
