,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Avg. Features,Stability,Stability Var.,Loose Stab.,Loose Stab. Var.
1,standard-normal,Perturbed,0.8586153846153846,0.00024848615384615426,0.8586153846153846,0.00024848615384615426,0.8586153846153846,0.00024848615384615426,0.8586153846153846,0.00024848615384615426,0.8586153846153846,0.00024848615384615426,0.8666666666666667,"[[6, 19], [6, 17], [10, 22], [9, 14], [None, 18], [None, 16], [6, 16], [7, 14], [8, 18], [8, 19], [8, 15], [10, 16], [None, 16], [7, 15], [8, 19], [7, 19], [15, 18], [8, 23], [14, 18], [7, 17], [8, 21], [None, 21], [9, 21], [11, 11], [8, 20], [9, 15], [9, 15], [7, 17], [9, 17], [9, 18]]",0.16441602297438587,0.0017468642888858997,0.43153518352864767,0.002183221197340076
2,standard-normal,Single Blind,0.49468623481781376,0.006344711094537963,0.40612457117909767,0.007572685088229752,0.22700668896321072,0.02110895012360041,-0.08856166363871601,0.0007310290868213956,-0.2676795458546031,0.013058675006790598,0,-1,1,1,2,2
3,standard-normal,Double Blind,0.49381868131868134,0.006943681318681322,0.41276420469214253,0.008684622658674727,0.2190635451505017,0.019883670205031262,-0.08105447662653871,0.0007718462948392954,-0.2747551361681796,0.011495292278609858,0,-1,1,1,2,2
4,normal,Perturbed,0.8664999999999999,0.0007015689655172426,0.8664999999999999,0.0007015689655172426,0.8664999999999999,0.0007015689655172426,0.8664999999999999,0.0007015689655172426,0.8664999999999999,0.0007015689655172426,1.0,"[[6, 19], [6, 17], [10, 22], [9, 14], [None, 18], [None, 16], [6, 16], [7, 14], [8, 18], [8, 19], [8, 15], [10, 16], [None, 16], [7, 15], [8, 19], [7, 19], [15, 18], [8, 23], [14, 18], [7, 17], [8, 21], [None, 21], [9, 21], [11, 11], [8, 20], [9, 15], [9, 15], [7, 17], [9, 17], [9, 18]]",0.2782061864707828,0.004209415301073398,0.6078636375812145,0.002017305875328874
5,normal,Single Blind,0.8714181286549708,0.0026070632254663684,0.8627802296653768,0.0037709608926218626,0.8721014492753623,0.00680923125393825,-0.008637898989593943,0.00013588666256660566,0.000683320620391555,0.0014491705852113625,0,-1,1,1,2,2
6,normal,Double Blind,0.8675595238095241,0.0024250271229181337,0.8680950418901202,0.0034678601508376294,0.8913043478260868,0.010136236229711234,0.0005355180805962571,0.00018891989384947828,0.023744824016563148,0.00689891595489966,0,-1,1,1,2,2
