,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate,Stability 1,Stab. 1 Var.,Stability 2,Stab. 2 Var.,Stability 3,Stab. 3 Var.,Stability 4,Stab. 4 Var.,Stability 5,Stab. 5 Var.,Loose Stab.,Loose Stab. Var,Loose Stab. 5,Loose Stab. 5 Var
1,normal,Perturbed,0.9179214174260718,0.0004646826044238098,0.9179214174260718,0.0004646826044238098,0.9179214174260718,0.0004646826044238098,0.9179214174260718,0.0004646826044238098,0.9179214174260718,0.0004646826044238098,0.9666666666666667,0.7553872053872052,0.025773449108523996,0.7382828282828282,0.03204742302861425,0.7382828282828282,0.03204742302861425,0.7770707070707069,0.021833180287725743,0.7402356902356902,0.03160395901426902,0.8224544181308886,0.014103201980981958,0.7728429800652025,0.023565370246021723
2,normal,Single Blind,0.12116858237547894,0.0014711688674511954,0.26792996040314115,0.07023768495454212,0.279943166932022,0.020740222595198535,0.1467613780276622,0.062284700801803504,0.15877458455654309,0.015088443967818485,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
3,normal,Double Blind,0.12481787275376394,0.0024332493259703928,0.2021816393933596,0.020194625579204022,0.2528735632183908,0.03440613026819924,0.07736376663959561,0.015738887068213022,0.12805569046462686,0.029718493357207627,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
