,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.8654799999999997,0.004280295510204083,0.8654799999999997,0.004280295510204083,0.8654799999999997,0.004280295510204083
2,normal,Single Blind,0.5819230769230772,0.00020510472433549375,0.5782733092899995,0.0002529668585926052,0.569375,0.0042366868622448935
3,normal,Double Blind,0.8820000000000003,0.005342857142857146,0.8902659522787052,0.005524718476700079,0.9179999999999997,0.011710204081632657
4,uniform,Perturbed,0.9717999999999999,0.0028926122448979593,0.9717999999999999,0.0028926122448979593,0.9717999999999999,0.0028926122448979593
5,uniform,Single Blind,0.5526923076923078,0.0026705879590494977,0.5548329924652861,0.0024073230966237,0.564375,0.005875717474489797
6,uniform,Double Blind,0.7232000000000002,0.05698546938775512,0.7386629907695386,0.05541325061010825,0.7959999999999998,0.07059591836734687
7,cauchy,Perturbed,0.8946000000000001,0.006816530612244898,0.8946000000000001,0.006816530612244898,0.8946000000000001,0.006816530612244898
8,cauchy,Single Blind,0.5792307692307694,0.0008952219941230936,0.5770878818542499,0.0006946317882587693,0.5675,0.003123405612244898
9,cauchy,Double Blind,0.86,0.022530612244897982,0.8751656036680715,0.020412163880275325,0.9219999999999997,0.021342857142857156
10,t-distribution,Perturbed,0.97368,0.0030052832653061226,0.97368,0.0030052832653061226,0.97368,0.0030052832653061226
11,t-distribution,Single Blind,0.5512820512820513,0.0028160179259080357,0.5535714963673292,0.0024073970237172997,0.558125,0.005062579719387753
12,t-distribution,Double Blind,0.7232000000000001,0.05987526530612245,0.7401121072301312,0.05784046951088256,0.8059999999999996,0.06179999999999998
