,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.9733499999999999,0.0018908457894736851,0.9733499999999999,0.0018908457894736851,0.9733499999999999,0.0018908457894736851
2,normal,Single Blind,0.5717857142857142,0.025513948561880894,0.6057702064864905,0.030196509991755962,0.6455753968253968,0.034586640626035996
3,normal,Double Blind,0.6024999999999999,0.05223026315789474,0.6361430917698623,0.06229523426719522,0.7097916666666666,0.07537468019005848
4,uniform,Perturbed,0.99401,0.0007026209473684213,0.99401,0.0007026209473684213,0.99401,0.0007026209473684213
5,uniform,Single Blind,0.5780952380952379,0.031169948681226883,0.6128848049624107,0.03468284240200438,0.6446626984126985,0.04411199916126294
6,uniform,Double Blind,0.6150000000000001,0.06331578947368426,0.648825975466129,0.07882876178162718,0.7231249999999999,0.1058369426169591
7,cauchy,Perturbed,0.9651200000000003,0.0011929532631578948,0.9651200000000003,0.0011929532631578948,0.9651200000000003,0.0011929532631578948
8,cauchy,Single Blind,0.7805952380952382,0.0034987916219119224,0.7973681134021582,0.0036118177259322885,0.8077876984126986,0.002789844464832717
9,cauchy,Double Blind,0.9012499999999998,0.009307565789473676,0.9080264349040068,0.009303076100463171,0.9377083333333335,0.006783580043859648
10,t-distribution,Perturbed,0.9918700000000001,0.0009774832631578938,0.9918700000000001,0.0009774832631578938,0.9918700000000001,0.0009774832631578938
11,t-distribution,Single Blind,0.5820238095238094,0.028183240840195727,0.6137586892544931,0.032958429153820905,0.6492559523809525,0.03865297285459018
12,t-distribution,Double Blind,0.6162500000000001,0.05922861842105263,0.6498900426899332,0.0712353941988249,0.7289583333333333,0.0887956414473684
