,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.8320000000000001,0.007795555555555556,0.8320000000000001,0.007795555555555556,0.8320000000000001,0.007795555555555556
2,normal,Single Blind,0.545,0.000605555555555555,0.6077689785868711,0.0013871364415412916,0.6455833333333333,0.004358186728395058
3,normal,Double Blind,0.5549999999999999,0.010805555555555561,0.6276586147236678,0.023455892613755264,0.6843750000000001,0.035069685570987656
4,uniform,Perturbed,0.9029999999999999,0.0026233333333333334,0.9029999999999999,0.0026233333333333334,0.9029999999999999,0.0026233333333333334
5,uniform,Single Blind,0.5289999999999999,0.00043222222222222197,0.5877276662083677,0.0016345391411495779,0.6155000000000002,0.0037197839506172836
6,uniform,Double Blind,0.5475000000000001,0.008673611111111111,0.5882512876350783,0.01216469516441686,0.6183333333333334,0.012229745370370363
7,cauchy,Perturbed,0.8389999999999999,0.0028766666666666667,0.8389999999999999,0.0028766666666666667,0.8389999999999999,0.0028766666666666667
8,cauchy,Single Blind,0.5250000000000001,0.00036111111111111175,0.5750107384294078,0.0017731868496071207,0.5858333333333333,0.0029424382716049403
9,cauchy,Double Blind,0.525,0.005416666666666669,0.554604646459987,0.011440366050269692,0.5481250000000001,0.03204808063271605
10,t-distribution,Perturbed,0.8879999999999999,0.005306666666666664,0.8879999999999999,0.005306666666666664,0.8879999999999999,0.005306666666666664
11,t-distribution,Single Blind,0.527,0.0005344444444444444,0.5800739940931424,0.00173435509858754,0.6153333333333334,0.0027290432098765463
12,t-distribution,Double Blind,0.53,0.003027777777777778,0.5729852736694017,0.0038606402205616755,0.5858333333333334,0.006127314814814812
