,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.12010000000000001,0.010179211111111112,0.12010000000000001,0.010179211111111112,0.12010000000000001,0.010179211111111112
2,normal,Single Blind,0.312,0.03339555555555556,0.30162473564114567,0.04546652124370692,0.29575,0.04954945216049382
3,normal,Double Blind,0.35250000000000004,0.03395138888888889,0.3366565735851158,0.040585563910584994,0.33375,0.06431211419753086
4,uniform,Perturbed,0.029500000000000005,0.0016502777777777776,0.029500000000000005,0.0016502777777777776,0.029500000000000005,0.0016502777777777776
5,uniform,Single Blind,0.18100000000000002,0.02156555555555555,0.19643199571471598,0.019108013698476353,0.21150000000000002,0.027424660493827163
6,uniform,Double Blind,0.1975,0.03020138888888889,0.21823652143209732,0.02874411444391784,0.22770833333333335,0.04848384452160495
7,cauchy,Perturbed,0.10740000000000001,0.011151155555555558,0.10740000000000001,0.011151155555555558,0.10740000000000001,0.011151155555555558
8,cauchy,Single Blind,0.21199999999999997,0.03544,0.22929858916019144,0.042046684542192875,0.24416666666666664,0.05428765432098765
9,cauchy,Double Blind,0.2525,0.03964583333333334,0.2725550751313668,0.053402688409516445,0.29125,0.08386940586419754
10,t-distribution,Perturbed,0.0205,0.0006205000000000001,0.0205,0.0006205000000000001,0.0205,0.0006205000000000001
11,t-distribution,Single Blind,0.179,0.02165444444444444,0.19884772982241433,0.01946532003601521,0.2145833333333334,0.028624729938271604
12,t-distribution,Double Blind,0.2,0.03138888888888888,0.20809159969599608,0.032213259637569824,0.21333333333333332,0.051038966049382725
