,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.98627,0.0004236222105263151,0.98627,0.0004236222105263151,0.98627,0.0004236222105263151
2,normal,Single Blind,0.6163095238095238,0.025179779806659502,0.6436697735098942,0.03009541274176777,0.7202380952380953,0.04571697099892589
3,normal,Double Blind,0.6712500000000001,0.05863651315789473,0.6887468950561901,0.06391061309012727,0.76875,0.08926809210526314
4,uniform,Perturbed,1.0,0.0,1.0,0.0,1.0,0.0
5,uniform,Single Blind,0.6041666666666667,0.02464248418665711,0.6300060208306517,0.029637490967926023,0.705357142857143,0.04399204857381549
6,uniform,Double Blind,0.6487500000000003,0.05891282894736843,0.6679699411947013,0.06304275275303371,0.7625,0.08700657894736843
7,cauchy,Perturbed,0.9737399999999999,0.0004935035789473684,0.9737399999999999,0.0004935035789473684,0.9737399999999999,0.0004935035789473684
8,cauchy,Single Blind,0.8154761904761905,1.2232963360782823e-05,0.82887977690422,0.0001114072302002084,0.8720238095238095,0.0010125760830648049
9,cauchy,Double Blind,0.9474999999999998,5.9210526315789044e-05,0.9467608721683989,0.0006916991422670841,0.95,0.003947368421052631
10,t-distribution,Perturbed,0.9996500000000001,9.5947368421053e-07,0.9996500000000001,9.5947368421053e-07,0.9996500000000001,9.5947368421053e-07
11,t-distribution,Single Blind,0.6077380952380953,0.022956125432629187,0.6339136616908589,0.0278996158132321,0.711309523809524,0.042738915741735294
12,t-distribution,Double Blind,0.6637500000000001,0.053978618421052636,0.6813057924103652,0.059472317001436695,0.76875,0.08762335526315788
