,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.065,0.004227777777777778,0.065,0.004227777777777778,0.065,0.004227777777777778
2,normal,Single Blind,0.24500000000000002,0.06669444444444445,0.22348020162819177,0.057946748222723485,0.21366666666666667,0.056745555555555556
3,normal,Double Blind,0.25,0.06944444444444445,0.2503364602909893,0.07033947895378354,0.20437500000000003,0.04821513310185186
4,uniform,Perturbed,0.1,0.011288888888888892,0.1,0.011288888888888892,0.1,0.011288888888888892
5,uniform,Single Blind,0.24500000000000002,0.06669444444444445,0.22348020162819177,0.057946748222723485,0.21366666666666667,0.056745555555555556
6,uniform,Double Blind,0.25,0.06944444444444445,0.2503364602909893,0.07033947895378354,0.20437500000000003,0.04821513310185186
7,cauchy,Perturbed,0.124,0.017315555555555556,0.124,0.017315555555555556,0.124,0.017315555555555556
8,cauchy,Single Blind,0.24500000000000002,0.06669444444444445,0.22348020162819177,0.057946748222723485,0.21366666666666667,0.056745555555555556
9,cauchy,Double Blind,0.25,0.06944444444444445,0.2503364602909893,0.07033947895378354,0.20437500000000003,0.04821513310185186
10,t-distribution,Perturbed,0.101,0.012032222222222224,0.101,0.012032222222222224,0.101,0.012032222222222224
11,t-distribution,Single Blind,0.24500000000000002,0.06669444444444445,0.22348020162819177,0.057946748222723485,0.21366666666666667,0.056745555555555556
12,t-distribution,Double Blind,0.25,0.06944444444444445,0.2503364602909893,0.07033947895378354,0.20437500000000003,0.04821513310185186
