,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.9824000000000002,0.0011749894736842112,0.9824000000000002,0.0011749894736842112,0.9824000000000002,0.0011749894736842112
2,normal,Single Blind,0.7973611111111111,0.0148728679337232,0.8162590778367665,0.01611131863011581,0.8680555555555557,0.02778793047433398
3,normal,Double Blind,0.8096638655462186,0.017351398763839905,0.8283495224690226,0.018271745677494646,0.8666666666666665,0.026973684210526313
4,uniform,Perturbed,0.9997999999999999,8.000000000000013e-07,0.9997999999999999,8.000000000000013e-07,0.9997999999999999,8.000000000000013e-07
5,uniform,Single Blind,0.7465277777777778,0.07681276397011046,0.7635811956270383,0.0807072447504754,0.8159722222222223,0.0951891447368421
6,uniform,Double Blind,0.7542016806722691,0.08576464641584192,0.7714582531475881,0.09041638184077884,0.7979166666666666,0.11152686403508773
7,cauchy,Perturbed,0.9922000000000001,0.00019364210526315824,0.9922000000000001,0.00019364210526315824,0.9922000000000001,0.00019364210526315824
8,cauchy,Single Blind,0.7500000000000002,0.05413255360623781,0.7667222901040441,0.05718445704959105,0.8215277777777781,0.06587627923976608
9,cauchy,Double Blind,0.7638655462184875,0.05531054527073988,0.7805282399157714,0.05769070859468719,0.8083333333333332,0.0698830409356725
10,t-distribution,Perturbed,0.9968999999999999,0.00019220000000000033,0.9968999999999999,0.00019220000000000033,0.9968999999999999,0.00019220000000000033
11,t-distribution,Single Blind,0.7359722222222222,0.07618622076023392,0.7533890990654204,0.08007589747169215,0.8083333333333336,0.09384340480831709
12,t-distribution,Double Blind,0.7445378151260506,0.08485425129804246,0.7619752559067184,0.08954475976825575,0.7874999999999999,0.11017909356725145
