,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.8729999999999999,0.005023333333333333,0.8729999999999999,0.005023333333333333,0.8729999999999999,0.005023333333333333
2,normal,Single Blind,0.6020000000000001,0.003906666666666666,0.6719657890428242,0.015061373775033894,0.7400000000000001,0.06211111111111112
3,normal,Double Blind,0.6448979591836734,0.0077004951640520175,0.6859515153369802,0.009884287243050611,0.6799999999999999,0.0351111111111111
4,uniform,Perturbed,0.834,0.001959999999999999,0.834,0.001959999999999999,0.834,0.001959999999999999
5,uniform,Single Blind,0.636,0.00527111111111111,0.704592235275227,0.007962636838115445,0.8,0.028888888888888884
6,uniform,Double Blind,0.6571428571428573,0.013309269285945672,0.7147894689759617,0.015426176061496552,0.72,0.023999999999999997
7,cauchy,Perturbed,0.8450000000000001,0.0010722222222222216,0.8450000000000001,0.0010722222222222216,0.8450000000000001,0.0010722222222222216
8,cauchy,Single Blind,0.615,0.005783333333333331,0.7151545128825355,0.004426241641313995,0.865,0.025027777777777777
9,cauchy,Double Blind,0.6448979591836734,0.012698412698412698,0.7134485212843085,0.008650079407275376,0.78,0.008444444444444437
10,t-distribution,Perturbed,0.8539999999999999,0.0006488888888888891,0.8539999999999999,0.0006488888888888891,0.8539999999999999,0.0006488888888888891
11,t-distribution,Single Blind,0.6290000000000001,0.005943333333333333,0.7096833331785495,0.008153564676633132,0.795,0.00969444444444444
12,t-distribution,Double Blind,0.6326530612244896,0.013420334120042576,0.671816922530885,0.016435314506554853,0.6900000000000001,0.03211111111111112
