,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.8224,0.008108266666666667,0.8224,0.008108266666666667,0.8224,0.008108266666666667
2,normal,Single Blind,0.611,0.011076666666666663,0.6854518176283094,0.012579540139125895,0.8350000000000002,0.02280555555555556
3,normal,Double Blind,0.6142857142857143,0.007908741727983714,0.6822851064902693,0.005987873286450528,0.76,0.0071111111111111115
4,uniform,Perturbed,0.9039999999999999,0.004714666666666668,0.9039999999999999,0.004714666666666668,0.9039999999999999,0.004714666666666668
5,uniform,Single Blind,0.603,0.015267777777777776,0.6801410037088326,0.016311381770595247,0.7699999999999999,0.059000000000000004
6,uniform,Double Blind,0.5979591836734695,0.011573881253181546,0.6536104764577717,0.022232030183687898,0.67,0.04677777777777778
7,cauchy,Perturbed,0.7934000000000001,0.01679204444444445,0.7934000000000001,0.01679204444444445,0.7934000000000001,0.01679204444444445
8,cauchy,Single Blind,0.609,0.015098888888888887,0.6864452832739445,0.017370105869608094,0.8450000000000001,0.025249999999999998
9,cauchy,Double Blind,0.6081632653061225,0.009051783978897682,0.6468402636970418,0.01578111414701428,0.7100000000000001,0.018777777777777775
10,t-distribution,Perturbed,0.8826,0.009341377777777776,0.8826,0.009341377777777776,0.8826,0.009341377777777776
11,t-distribution,Single Blind,0.615,0.012205555555555555,0.6855731702800794,0.012021212499127422,0.805,0.03802777777777778
12,t-distribution,Double Blind,0.6224489795918368,0.008723217178027674,0.6685930464338283,0.012003367402618408,0.72,0.023999999999999997
