,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,pert-lime,Perturbed,0.7272000000000001,0.0013059555555555561,0.7272000000000001,0.0013059555555555561,0.7272000000000001,0.0013059555555555561
2,pert-lime,Single Blind,0.488,0.017151111111111117,0.5611661018274088,0.03303001444730134,0.6299999999999999,0.10177777777777777
3,pert-lime,Double Blind,0.5918367346938777,0.008607524642510063,0.6321274113915499,0.011735946378186998,0.66,0.027111111111111103
