,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,pert-lime,Perturbed,0.8946499999999998,0.00010002894736842123,0.8946499999999998,0.00010002894736842123,0.8946499999999998,0.00010002894736842123
2,pert-lime,Single Blind,0.9666666666666666,0.0001673164392462641,0.9729110678065144,8.966350678770062e-05,0.9881944444444443,0.00016802712800519825
3,pert-lime,Double Blind,0.9655462184873949,0.0004675554432299235,0.970509791930359,0.00031957612054913384,0.9875,0.00038377192982456157
