,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.9743999999999998,0.000291420689655173,0.9743999999999998,0.000291420689655173,0.9743999999999998,0.000291420689655173
2,normal,Single Blind,0.6666666666666667,0.0013950937168252942,0.6511855569415257,0.0016239423211064628,0.6433333333333332,0.01064367816091954
3,normal,Double Blind,0.8600000000000001,0.0024275862068965535,0.8590471509017495,0.0033285934101948793,0.8733333333333332,0.01236781609195402
4,uniform,Perturbed,0.9737333333333333,0.0009566160919540223,0.9737333333333333,0.0009566160919540223,0.9737333333333333,0.0009566160919540223
5,uniform,Single Blind,0.6584192439862543,0.0023655512025048163,0.645820157614954,0.002613084681708126,0.6533333333333332,0.007402298850574709
6,uniform,Double Blind,0.8440000000000004,0.009142068965517244,0.8468996487492393,0.010170664033896028,0.8766666666666668,0.019781609195402297
7,cauchy,Perturbed,0.9776,0.0010894896551724136,0.9776,0.0010894896551724136,0.9776,0.0010894896551724136
8,cauchy,Single Blind,0.6323024054982818,0.003036955324017236,0.6264932224799509,0.002994645254358098,0.6366666666666666,0.013091954022988505
9,cauchy,Double Blind,0.7493333333333333,0.02454436781609195,0.7552434450407266,0.024112465674396216,0.7933333333333336,0.029609195402298845
10,t-distribution,Perturbed,0.9677333333333333,0.0012167540229885052,0.9677333333333333,0.0012167540229885052,0.9677333333333333,0.0012167540229885052
11,t-distribution,Single Blind,0.6687285223367697,0.0043079321217274254,0.655041916307968,0.004103683524309961,0.6533333333333332,0.009126436781609194
12,t-distribution,Double Blind,0.8613333333333338,0.018287816091954026,0.8689342613167512,0.01645650142054034,0.9033333333333334,0.018954022988505747
