,0,1,2,3,4,5,6,7,8,9,10,11
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.
1,normal,Perturbed,0.9804999999999999,0.00034579487179487226,0.9804999999999999,0.00034579487179487226,0.9804999999999999,0.00034579487179487226,0.9804999999999999,0.00034579487179487226,0.9804999999999999,0.00034579487179487226
2,normal,Single Blind,0.884593572778828,0.0009728876260227983,0.90377066000613,0.0017156909685740911,0.9207547169811324,0.007826491770955991,0.01917708722730204,0.00032652322562928864,0.03616114420230412,0.005242541043264879
3,normal,Double Blind,0.8775641025641028,0.0013313609467455632,0.9025140638277673,0.0018796632832579958,0.925,0.011858974358974357,0.02494996126366469,0.00043295048396682374,0.04743589743589743,0.010987836949375409
4,uniform,Perturbed,0.9995,5.076923076923087e-06,0.9995,5.076923076923087e-06,0.9995,5.076923076923087e-06,0.9995,5.076923076923087e-06,0.9995,5.076923076923087e-06
5,uniform,Single Blind,0.8310491493383749,0.0536785930362104,0.8567093255435794,0.05350436493171337,0.8997641509433965,0.043882244342817504,0.02566017620520502,0.00015908555294294387,0.06871500160502197,0.002818244486668624
6,uniform,Double Blind,0.8185897435897438,0.05753257809470828,0.8471683256072143,0.06042447167346719,0.8875,0.056730769230769265,0.02857858201747069,0.00022897442164788846,0.06891025641025643,0.005897140882347984
7,cauchy,Perturbed,0.9941000000000001,0.00022583589743589786,0.9941000000000001,0.00022583589743589786,0.9941000000000001,0.00022583589743589786,0.9941000000000001,0.00022583589743589786,0.9941000000000001,0.00022583589743589786
8,cauchy,Single Blind,0.8331285444234406,0.0458511261752209,0.8575285385183573,0.045711494352451115,0.8964622641509437,0.0390160176538781,0.02439999409491671,0.00016681722061147875,0.06333371972750299,0.002494971708558682
9,cauchy,Double Blind,0.8326923076923081,0.04133540686795123,0.8605137283180166,0.04341632035164794,0.890625,0.04742588141025641,0.027821420625708932,0.0002662871976824355,0.057932692307692324,0.006968881966570579
10,t-distribution,Perturbed,0.9985999999999999,2.3630769230769267e-05,0.9985999999999999,2.3630769230769267e-05,0.9985999999999999,2.3630769230769267e-05,0.9985999999999999,2.3630769230769267e-05,0.9985999999999999,2.3630769230769267e-05
11,t-distribution,Single Blind,0.843714555765596,0.04712683227902584,0.8687872786616386,0.04716226352510627,0.908490566037736,0.03963085686118795,0.02507272289604301,0.0001616736071832525,0.06477601027214042,0.0024953178963537936
12,t-distribution,Double Blind,0.8301282051282055,0.04850680220502708,0.8593707866395353,0.050222023268650655,0.9,0.046634615384615406,0.02924258151133008,0.0002118562940596626,0.0698717948717949,0.006055290041976433
