,0,1,2,3,4,5,6,7,8,9,10,11
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.
1,normal,Perturbed,0.8855000000000001,0.003538205128205129,0.8855000000000001,0.003538205128205129,0.8855000000000001,0.003538205128205129,0.8855000000000001,0.003538205128205129,0.8855000000000001,0.003538205128205129
2,normal,Single Blind,0.808506616257089,0.027226303141555015,0.8392733370204428,0.02867886267161507,0.8834905660377359,0.03697615722357623,0.030766720763354034,0.0004963228211816974,0.07498394978064701,0.008153082391153645
3,normal,Double Blind,0.8153846153846155,0.02552976280786932,0.846485518703315,0.02648007424728315,0.8875,0.03589743589743591,0.031100903318699406,0.000472876631296117,0.07211538461538464,0.012479138218783192
4,uniform,Perturbed,0.9712500000000001,0.005149679487179483,0.9712500000000001,0.005149679487179483,0.9712500000000001,0.005149679487179483,0.9712500000000001,0.005149679487179483,0.9712500000000001,0.005149679487179483
5,uniform,Single Blind,0.770226843100189,0.03039710553584503,0.8034474005056058,0.02965644738691563,0.8570754716981133,0.03576667488201841,0.033220557405416934,0.0011106171637949706,0.0868486285979242,0.01963488042033271
6,uniform,Double Blind,0.7891025641025645,0.032653534280753224,0.8162291927180121,0.03220865428382312,0.865625,0.03877203525641026,0.027126628615448088,0.0005408306233434544,0.0765224358974359,0.01992573390271245
7,cauchy,Perturbed,0.88475,0.005681987179487177,0.88475,0.005681987179487177,0.88475,0.005681987179487177,0.88475,0.005681987179487177,0.88475,0.005681987179487177
8,cauchy,Single Blind,0.8073251417769376,0.023395224247761942,0.8468682311140787,0.021278679960449798,0.9125000000000003,0.0230074919443912,0.03954308933714107,0.0012197861055958865,0.10517485822306243,0.016784505640711492
9,cauchy,Double Blind,0.8282051282051283,0.022967346044269123,0.8602577803322589,0.023164626217227965,0.903125,0.038852163461538435,0.03205265212713067,0.0007193405859264335,0.07491987179487179,0.026924703457155388
10,t-distribution,Perturbed,0.9702500000000001,0.004843525641025642,0.9702500000000001,0.004843525641025642,0.9702500000000001,0.004843525641025642,0.9702500000000001,0.004843525641025642,0.9702500000000001,0.004843525641025642
11,t-distribution,Single Blind,0.7629962192816635,0.035067658383666406,0.7968090140916149,0.035527407692541015,0.8551886792452834,0.042790800631669255,0.03381279480995121,0.001201102593753723,0.09219245996361952,0.021517387738643614
12,t-distribution,Double Blind,0.782692307692308,0.03385045263743488,0.8127498838610817,0.03564282503078338,0.878125,0.034845753205128206,0.030057576168774098,0.0006072168384798381,0.09543269230769233,0.015199328787993726
