,0,1,2,3,4,5,6,7,8,9,10,11
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.
1,normal,Perturbed,0.8691000000000001,0.0031408615384615392,0.8691000000000001,0.0031408615384615392,0.8691000000000001,0.0031408615384615392,0.8691000000000001,0.0031408615384615392,0.8691000000000001,0.0031408615384615392
2,normal,Single Blind,0.8962665406427222,0.0001935508432948049,0.9212924018016512,0.0006369227354329571,0.9471698113207552,0.005968909457695502,0.0250258611589289,0.0004124310778525929,0.05090327067803263,0.0054866134575791755
3,normal,Double Blind,0.9012820512820514,0.0002882718859050217,0.9284241855989931,0.0002467231614675285,0.953125,0.005358573717948718,0.027142134316941673,0.00036673412213912484,0.051842948717948714,0.006427581961513174
4,uniform,Perturbed,0.8346000000000002,0.001985066666666667,0.8346000000000002,0.001985066666666667,0.8346000000000002,0.001985066666666667,0.8346000000000002,0.001985066666666667,0.8346000000000002,0.001985066666666667
5,uniform,Single Blind,0.8934310018903593,0.0003671842407946123,0.9196915966074751,0.0006913041743597077,0.9476415094339625,0.005796158866646583,0.026260594717115865,0.0004334787393282236,0.05421050754360314,0.005609359040599118
6,uniform,Double Blind,0.8980769230769233,0.00038731266541917436,0.9251949846088496,0.0004659457501494259,0.95,0.006249999999999999,0.027118061531926634,0.0003592559729941349,0.05192307692307692,0.007557759739712404
7,cauchy,Perturbed,0.6433999999999999,0.0020219384615384624,0.6433999999999999,0.0020219384615384624,0.6433999999999999,0.0020219384615384624,0.6433999999999999,0.0020219384615384624,0.6433999999999999,0.0020219384615384624
8,cauchy,Single Blind,0.8552457466918717,0.031974913135197014,0.8824655599414631,0.03233056452303438,0.9219339622641511,0.028434188186324184,0.027219813249591884,0.0003765312045550729,0.0666882155722795,0.00391262642525316
9,cauchy,Double Blind,0.853846153846154,0.03287985299819619,0.8831160850376178,0.03354513543418255,0.925,0.028685897435897428,0.029269931191464076,0.0002818143723433135,0.07115384615384618,0.00466239737689442
10,t-distribution,Perturbed,0.8414749999999998,0.003124563461538462,0.8414749999999998,0.003124563461538462,0.8414749999999998,0.003124563461538462,0.8414749999999998,0.003124563461538462,0.8414749999999998,0.003124563461538462
11,t-distribution,Single Blind,0.8924858223062382,0.00034601837545294707,0.9192491833184553,0.000695406802837436,0.9464622641509436,0.0062271795784611715,0.026763361012216973,0.00046252943557721735,0.05397644184470526,0.005879631851245757
12,t-distribution,Double Blind,0.9006410256410258,0.0002760498322628496,0.9277603034117563,0.00025577369302739214,0.953125,0.005358573717948718,0.027119277770730428,0.0003492010048441038,0.05248397435897436,0.006641362537719784
