,0,1,2,3,4,5,6,7,8,9,10,11
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.
1,normal,Perturbed,0.8255500000000001,0.001997638461538461,0.8255500000000001,0.001997638461538461,0.8255500000000001,0.001997638461538461,0.8255500000000001,0.001997638461538461,0.8255500000000001,0.001997638461538461
2,normal,Single Blind,0.8909262759924387,0.0006636002733786834,0.9166166249091233,0.0009414675254926743,0.9431603773584907,0.007619681700760375,0.025690348916684723,0.0005323704115348999,0.052234101366052055,0.007621793446616363
3,normal,Double Blind,0.8948717948717949,0.0007350090190326869,0.9237408776495049,0.0004745340446972893,0.95625,0.005248397435897438,0.028869082777709904,0.00038852207022073117,0.061378205128205146,0.006706614870446232
4,uniform,Perturbed,0.9418,0.0037946256410256404,0.9418,0.0037946256410256404,0.9418,0.0037946256410256404,0.9418,0.0037946256410256404,0.9418,0.0037946256410256404
5,uniform,Single Blind,0.787240075614367,0.025067522317389207,0.820838138065405,0.025462750976020344,0.8719339622641513,0.03211694781426002,0.03359806245103826,0.0008780582928948774,0.08469388664978425,0.013690341951213676
6,uniform,Double Blind,0.7987179487179491,0.03184645729024427,0.8275768202815901,0.03333120676075369,0.875,0.03766025641025641,0.028858871563641485,0.0005524755546637914,0.07628205128205127,0.014608620340868862
7,cauchy,Perturbed,0.8300000000000001,0.004883487179487179,0.8300000000000001,0.004883487179487179,0.8300000000000001,0.004883487179487179,0.8300000000000001,0.004883487179487179,0.8300000000000001,0.004883487179487179
8,cauchy,Single Blind,0.8546786389413992,0.01762579418953932,0.886408597011149,0.01770443073982499,0.9259433962264154,0.021421757902711974,0.03172995806975024,0.000707467162767715,0.07126475728501626,0.008695489844836478
9,cauchy,Double Blind,0.8602564102564104,0.01978961209730443,0.891252610501952,0.020209095550892408,0.928125,0.022345753205128188,0.030996200245541776,0.00036003719369606977,0.06786858974358975,0.00800485905654175
10,t-distribution,Perturbed,0.9472000000000002,0.003986625641025641,0.9472000000000002,0.003986625641025641,0.9472000000000002,0.003986625641025641,0.9472000000000002,0.003986625641025641,0.9472000000000002,0.003986625641025641
11,t-distribution,Single Blind,0.7610113421550097,0.02942987817532649,0.799451364352429,0.028952109786514517,0.8691037735849058,0.03564635420945496,0.038440022197419356,0.0011479217499872662,0.10809243142989625,0.016704140743973462
12,t-distribution,Double Blind,0.7814102564102569,0.031490331934118924,0.8123912224269365,0.032500373315938316,0.878125,0.038852163461538476,0.030980966016679906,0.0005448900626487022,0.09671474358974361,0.015193744573829635
