,0,1,2,3,4,5,6,7,8,9,10,11
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.
1,normal,Perturbed,0.9802500000000002,0.0021922435897435925,0.9802500000000002,0.0021922435897435925,0.9802500000000002,0.0021922435897435925,0.9802500000000002,0.0021922435897435925,0.9802500000000002,0.0021922435897435925
2,normal,Single Blind,0.753922495274102,0.03351937991527974,0.7960295948611262,0.03083719484908712,0.8768867924528301,0.030775392283046255,0.04210709958702426,0.0014807600519618168,0.12296429717872819,0.021611568775742447
3,normal,Double Blind,0.7967948717948722,0.03288617475008008,0.8299225811870606,0.031125477386321244,0.9,0.029006410256410264,0.0331277093921888,0.0005077855825031864,0.10320512820512824,0.014818291778350949
4,uniform,Perturbed,0.991,0.0017066666666666662,0.991,0.0017066666666666662,0.991,0.0017066666666666662,0.991,0.0017066666666666662,0.991,0.0017066666666666662
5,uniform,Single Blind,0.831238185255199,0.05322252819572722,0.8539971218972253,0.055440464979473254,0.8903301886792455,0.05172334118355835,0.022758936642026776,0.0003627467507676833,0.059092003424046816,0.0038312022224242038
6,uniform,Double Blind,0.8230769230769234,0.05596183347662638,0.8484952568481366,0.05834639265261973,0.88125,0.05685096153846155,0.025418333771213532,0.0003445020752365778,0.05817307692307695,0.007980447875048466
7,cauchy,Perturbed,0.9714999999999998,0.005854102564102565,0.9714999999999998,0.005854102564102565,0.9714999999999998,0.005854102564102565,0.9714999999999998,0.005854102564102565,0.9714999999999998,0.005854102564102565
8,cauchy,Single Blind,0.7750000000000002,0.0358022880025553,0.8128753457959386,0.034992922887840616,0.8785377358490567,0.039580594882748676,0.0378753457959385,0.0010883333497279768,0.10353773584905665,0.016782548894414648
9,cauchy,Double Blind,0.7743589743589746,0.03921846288710194,0.8032945278645307,0.041707524011351575,0.846875,0.05567908653846153,0.028935553505556467,0.0005280119468727553,0.07251602564102563,0.02047282884699675
10,t-distribution,Perturbed,0.9952500000000001,0.0004512179487179488,0.9952500000000001,0.0004512179487179488,0.9952500000000001,0.0004512179487179488,0.9952500000000001,0.0004512179487179488,0.9952500000000001,0.0004512179487179488
11,t-distribution,Single Blind,0.823534971644613,0.06104300619793347,0.8475523000138365,0.0631343099305586,0.8853773584905662,0.05964139989593887,0.024017328369223972,0.00029706663261149874,0.0618423868459536,0.0036239831911695905
12,t-distribution,Double Blind,0.8160256410256412,0.06226967750636395,0.8419075421990655,0.066339412476979,0.875,0.06650641025641026,0.025881901173424447,0.0003923624638189879,0.058974358974359,0.007803043712807028
