,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,standard-normal,Perturbed,0.8882926829268295,0.002723712195121952,0.8882926829268295,0.002723712195121952,0.8882926829268295,0.002723712195121952,0.8882926829268295,0.002723712195121952,0.8882926829268295,0.002723712195121952,0.82
2,standard-normal,Single Blind,0.7529852642276421,0.0433358293238694,0.7832586346824928,0.045073177546903806,0.8634779854292051,0.04666151080468472,0.030273370454850512,0.0004478358249609982,0.11049272120156263,0.004225436092549468,0
3,standard-normal,Double Blind,0.7453145057766364,0.046582933585568524,0.7809263983548773,0.04867038261713842,0.8600770218228498,0.042328221066144166,0.03561189257824062,0.00104231720389155,0.11476251604621311,0.006009999324369973,0
4,normal,Perturbed,0.8489130434782608,0.0011030589371980675,0.8489130434782608,0.0011030589371980675,0.8489130434782608,0.0011030589371980675,0.8489130434782608,0.0011030589371980675,0.8489130434782608,0.0011030589371980675,0.92
5,normal,Single Blind,0.7489243659420287,0.053865432124974875,0.7786665279190759,0.05812909913991997,0.8520609824957653,0.06032479346990922,0.029742161977046832,0.0002775284418241228,0.10313661655373607,0.0011632817255488883,0
6,normal,Double Blind,0.7485125858123567,0.05581645188486092,0.7807649714449179,0.06065309465159817,0.8489702517162472,0.052275616577676064,0.032252385632561095,0.0006269144318968187,0.10045766590389021,0.002451001645991409,0
7,uniform,Perturbed,0.8161777777777778,0.0036657858585858586,0.8161777777777778,0.0036657858585858586,0.8161777777777778,0.0036657858585858586,0.8161777777777778,0.0036657858585858586,0.8161777777777778,0.0036657858585858586,0.9
8,uniform,Single Blind,0.7838541666666665,0.040247445154671706,0.8141098859311616,0.042927493762554524,0.8854256854256857,0.04409212720901034,0.030255719264494878,0.000280575104745945,0.10157151875901871,0.0013874865706871588,0
9,uniform,Double Blind,0.7829239766081868,0.041446934721172966,0.8155888238904789,0.044792912226009514,0.8807017543859649,0.0375723998992697,0.032664847282292145,0.0006313693895951307,0.09777777777777781,0.0030552617588628676,0
10,cauchy,Perturbed,0.7324782608695656,0.001738877294685991,0.7324782608695656,0.001738877294685991,0.7324782608695656,0.001738877294685991,0.7324782608695656,0.001738877294685991,0.7324782608695656,0.001738877294685991,0.92
11,cauchy,Single Blind,0.74903759057971,0.05377765682136511,0.7789593548533174,0.05808131239507262,0.8514963297571995,0.06021365547057246,0.029921764273607182,0.00027628623811989066,0.10245873917748913,0.0011431751231481936,0
12,cauchy,Double Blind,0.7478260869565215,0.055696923468090465,0.7800657295734844,0.06053423751212276,0.8466819221967963,0.05205615105651239,0.03223964261696281,0.0006427237720598924,0.09885583524027464,0.0026419366494038307,0
13,t-distribution,Perturbed,0.8804782608695652,0.0009746106280193248,0.8804782608695652,0.0009746106280193248,0.8804782608695652,0.0009746106280193248,0.8804782608695652,0.0009746106280193248,0.8804782608695652,0.0009746106280193248,0.92
14,t-distribution,Single Blind,0.7413949275362314,0.05129963275379095,0.7722715704560779,0.05583305014844645,0.8503670242800679,0.06084398066329182,0.03087664291984593,0.0003014585809464189,0.10897209674383583,0.002315126686422072,0
15,t-distribution,Double Blind,0.7434782608695648,0.05174938108046624,0.7773233999846305,0.056903704556785714,0.8466819221967963,0.05316418429750961,0.033845139115065384,0.0006818742177970594,0.10320366132723112,0.0036521739130434784,0
