,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,pert-lime,Perturbed,0.905521739130435,0.0025283439613526574,0.905521739130435,0.0025283439613526574,0.905521739130435,0.0025283439613526574,0.905521739130435,0.0025283439613526574,0.905521739130435,0.0025283439613526574,0.92
2,pert-lime,Single Blind,0.8231431159420289,0.04062886588751341,0.8453028969804606,0.04208684884209143,0.8994918125352909,0.04131432906136462,0.022159781038431463,0.00018987141874480387,0.07634869659326178,0.0013576422165861907,0
3,pert-lime,Double Blind,0.805949656750572,0.04006476909283125,0.8320349061622025,0.04285014399204371,0.8901601830663614,0.039005981773656086,0.026085249411630766,0.0004897573910528219,0.0842105263157895,0.0024130501692828585,0
