,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,standard-normal,Perturbed,0.99044,0.0005273126530612243,0.99044,0.0005273126530612243,0.99044,0.0005273126530612243,0.99044,0.0005273126530612243,0.99044,0.0005273126530612243,1.0
2,standard-normal,Single Blind,0.9385937500000004,0.018368977310976455,0.9459836765030704,0.01796628081091964,0.9670129870129874,0.012537544618117086,0.007389926503070361,4.7584219032125035e-05,0.02841923701298697,0.0011772779587781823,0
3,standard-normal,Double Blind,0.9248421052631577,0.020075798518853532,0.9369930473762389,0.01984115092074437,0.9610526315789472,0.01648595172140877,0.012150942113081167,8.888426434662858e-05,0.036210526315789505,0.001968047939397369,0
4,normal,Perturbed,0.9743200000000004,0.002462997551020409,0.9743200000000004,0.002462997551020409,0.9743200000000004,0.002462997551020409,0.9743200000000004,0.002462997551020409,0.9743200000000004,0.002462997551020409,1.0
5,normal,Single Blind,0.9740625000000004,0.0013768091872165564,0.9787116890547616,0.0015379735507811162,0.9859740259740262,0.0035167165196319764,0.0046491890547615,2.2954427001405108e-05,0.011911525974025942,0.001451912048398128,0
6,normal,Double Blind,0.9602105263157891,0.0015661258409180884,0.9700001673126443,0.001905736476221999,0.9810526315789473,0.006982870710611114,0.009789640996855047,7.643005906268756e-05,0.02084210526315788,0.004095155181186042,0
7,uniform,Perturbed,0.97914,0.0019020004081632628,0.97914,0.0019020004081632628,0.97914,0.0019020004081632628,0.97914,0.0019020004081632628,0.97914,0.0019020004081632628,1.0
8,uniform,Single Blind,0.7525,0.05044298513676308,0.7802346477471306,0.05430072762252758,0.8496103896103898,0.05678825282853906,0.027734647747130702,0.0002869022066652611,0.0971103896103896,0.0016747069113220777,0
9,uniform,Double Blind,0.7490526315789474,0.051862106393804015,0.7793305834945201,0.055965233538604296,0.8463157894736838,0.04746904856125276,0.030277951915573125,0.0006281323425620509,0.09726315789473684,0.0033085420317711593,0
10,cauchy,Perturbed,0.9613200000000002,0.000976426122448979,0.9613200000000002,0.000976426122448979,0.9613200000000002,0.000976426122448979,0.9613200000000002,0.000976426122448979,0.9613200000000002,0.000976426122448979,1.0
11,cauchy,Single Blind,0.9808854166666672,2.1482714179421773e-05,0.9855650142890723,4.1189199213224396e-05,0.9940259740259744,0.00015978190905304587,0.004679597622405671,9.29011959225415e-06,0.013140557359307328,8.438658630341024e-05,0
12,cauchy,Double Blind,0.9671578947368417,8.430097800893212e-05,0.9769495290856515,0.0001916468851687535,0.9873684210526315,0.001307026965911019,0.009791634348809477,5.8693931573318427e-05,0.020210526315789457,0.0008359545480241964,0
13,t-distribution,Perturbed,0.9880800000000001,0.0009297077551020415,0.9880800000000001,0.0009297077551020415,0.9880800000000001,0.0009297077551020415,0.9880800000000001,0.0009297077551020415,0.9880800000000001,0.0009297077551020415,1.0
14,t-distribution,Single Blind,0.9494791666666671,0.006983473728032874,0.9569116221920322,0.0066136987862780924,0.9787012987012987,0.003392250474148166,0.007432455525365556,3.211033824349984e-05,0.029222132034631993,0.0011266187158306636,0
15,t-distribution,Double Blind,0.937473684210526,0.006686234382949851,0.9494023731725201,0.006578451995797611,0.971578947368421,0.005224715925151221,0.011928688961993995,7.792612560497688e-05,0.03410526315789476,0.0018341794335462699,0
