,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,pert-lime,Perturbed,0.6049285714285714,0.005322225274725272,0.6049285714285714,0.005322225274725272,0.6049285714285714,0.005322225274725272,0.6049285714285714,0.005322225274725272,0.6049285714285714,0.005322225274725272,0.4666666666666667
2,pert-lime,Single Blind,0.16765873015873017,0.00383470695970696,0.2427628415443038,0.004249224212187591,0.34919011438590636,0.017719434927074087,0.07510411138557369,0.0029764440883822967,0.18153138422717616,0.017458707724865297,0
3,pert-lime,Double Blind,0.15291750503018106,0.003291689465067763,0.20038017857954124,0.0031319529079918878,0.25238095238095243,0.024737484737484734,0.047462673549360145,0.003522212976515047,0.0994634473507713,0.029246735983494566,0
