,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,pert-lime,Perturbed,0.9839341686518318,0.00010994348486024515,0.9839341686518318,0.00010994348486024515,0.9839341686518318,0.00010994348486024515,0.9839341686518318,0.00010994348486024515,0.9839341686518318,0.00010994348486024515,1.0
2,pert-lime,Single Blind,0.6577777777777776,0.00469316730523627,0.7310730584152475,0.006068879598131955,0.7944444444444444,0.022621328224776503,0.07329528063746978,0.0035403059280801866,0.13666666666666663,0.024389846743295016,0
3,pert-lime,Double Blind,0.6793103448275862,0.005014555742342859,0.7255540359747485,0.005838751991880552,0.7722222222222224,0.027745849297573424,0.04624369114716238,0.0034094871453773895,0.09291187739463605,0.028519422083118827,0
