,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,standard-normal,Perturbed,0.9721800000000002,0.0005388036734693879,0.9721800000000002,0.0005388036734693879,0.9721800000000002,0.0005388036734693879,0.9721800000000002,0.0005388036734693879,0.9721800000000002,0.0005388036734693879,1.0
2,standard-normal,Single Blind,0.9183333333333334,0.005362238616591607,0.9256545495866279,0.004604335722356445,0.9319565217391306,0.0028876682998341136,0.007321216253294515,0.00010838599980957672,0.013623188405797113,0.00272865035888279,0
3,standard-normal,Double Blind,0.9278571428571426,0.005934506455643484,0.9301267294582364,0.004670212677397581,0.9313043478260868,0.0016272520350295132,0.002269586601093705,0.0001301296318111592,0.003447204968944115,0.00585558533818218,0
4,normal,Perturbed,0.9899600000000001,0.00012012081632653078,0.9899600000000001,0.00012012081632653078,0.9899600000000001,0.00012012081632653078,0.9899600000000001,0.00012012081632653078,0.9899600000000001,0.00012012081632653078,1.0
5,normal,Single Blind,0.9250000000000002,0.00011110168905974202,0.9308387164475836,0.0001999371172064476,0.933478260869565,0.001551058986921802,0.00583871644758331,7.707815119871073e-05,0.008478260869565244,0.0013860433640682207,0
6,normal,Double Blind,0.9351785714285712,0.0002108821845064558,0.9351060051982523,0.0003131050258240273,0.9234782608695653,0.0025894062729061385,-7.256623031909993e-05,8.577425625725537e-05,-0.011700310559006187,0.002164593185515016,0
7,uniform,Perturbed,0.96248,0.0005631934693877551,0.96248,0.0005631934693877551,0.96248,0.0005631934693877551,0.96248,0.0005631934693877551,0.96248,0.0005631934693877551,1.0
8,uniform,Single Blind,0.9248245614035091,0.0006055709449061255,0.9310785299071028,0.0008039713554136483,0.933913043478261,0.002313953936962308,0.006253968503594454,6.140573262816605e-05,0.009088482074752125,0.0013230647875332165,0
9,uniform,Double Blind,0.9366071428571426,0.0006190454498125778,0.9384660769434742,0.0006207939791387215,0.934782608695652,0.0017939122719030905,0.0018589340863313431,4.268983159450183e-05,-0.0018245341614906586,0.0015969480880485372,0
10,cauchy,Perturbed,0.9544799999999997,0.0005519281632653054,0.9544799999999997,0.0005519281632653054,0.9544799999999997,0.0005519281632653054,0.9544799999999997,0.0005519281632653054,0.9544799999999997,0.0005519281632653054,1.0
11,cauchy,Single Blind,0.919385964912281,0.0024704540172486343,0.9270094543500832,0.002125431279333184,0.9328260869565215,0.0019226206550673208,0.007623489437802371,7.89244130842509e-05,0.013440122044241063,0.0019635147476595944,0
12,cauchy,Double Blind,0.9294642857142855,0.0037915516972094965,0.9325849283590028,0.0028930994741182903,0.9339130434782605,0.0017159831796612797,0.0031206426447169043,0.00011052169129744243,0.004448757763975182,0.0032005251164448655,0
13,t-distribution,Perturbed,0.97104,0.0005897126530612246,0.97104,0.0005897126530612246,0.97104,0.0005897126530612246,0.97104,0.0005897126530612246,0.97104,0.0005897126530612246,1.0
14,t-distribution,Single Blind,0.9266228070175443,0.0002697474419130533,0.9319478137542885,0.0005484243864178952,0.929565217391304,0.002720959839512366,0.005325006736744775,9.027404343793054e-05,0.0029424103737605177,0.0016782646842492485,0
15,t-distribution,Double Blind,0.938392857142857,0.0004465912640566428,0.9392668821880653,0.0006487014976999821,0.9330434782608692,0.0020994560395046504,0.0008740250452083198,4.823108418509425e-05,-0.005349378881987552,0.001251523282772853,0
