,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,standard-normal,Perturbed,0.9693877551020406,0.0014017006802721091,0.9693877551020406,0.0014017006802721091,0.9693877551020406,0.0014017006802721091,0.9693877551020406,0.0014017006802721091,0.9693877551020406,0.0014017006802721091,0.98
2,standard-normal,Single Blind,0.9754464285714288,0.0003554732711226862,0.9810007908999334,0.0003031847623801649,0.9917837264776044,0.00036328412289186223,0.005554362328504646,2.015038497037437e-05,0.01633729790617543,0.00022171909005660063,0
3,standard-normal,Double Blind,0.9628356605800211,0.00036058190589255147,0.973734117518984,0.00039548428109469443,0.9914070891514499,0.00038630410612998676,0.010898456938962566,5.620538975599334e-05,0.028571428571428577,0.0004986149584487548,0
4,normal,Perturbed,0.9608163265306122,0.0012826530612244898,0.9608163265306122,0.0012826530612244898,0.9608163265306122,0.0012826530612244898,0.9608163265306122,0.0012826530612244898,0.9608163265306122,0.0012826530612244898,0.98
5,normal,Single Blind,0.9395195578231297,0.011826484201536522,0.9471541999087629,0.01180077835862497,0.959183673469388,0.013008095800303592,0.00763464208563349,0.00011237658444446398,0.019664115646258484,0.0010977296745879976,0
6,normal,Double Blind,0.9323308270676687,0.011131117266851337,0.9442909425079069,0.011408749102624143,0.9591836734693876,0.014458137825767424,0.011960115440237784,0.00013268162341681906,0.026852846401718575,0.0018885559764071846,0
7,uniform,Perturbed,0.9587999999999998,0.0019413877551020412,0.9587999999999998,0.0019413877551020412,0.9587999999999998,0.0019413877551020412,0.9587999999999998,0.0019413877551020412,0.9587999999999998,0.0019413877551020412,1.0
8,uniform,Single Blind,0.9725520833333338,0.0014211669368268147,0.9775267329523782,0.0014961987297097605,0.9862337662337665,0.0018133628894296788,0.004974649619044891,2.3005239713275154e-05,0.013681682900432868,0.0008099837091083366,0
9,uniform,Double Blind,0.9574736842105258,0.0019400079145231524,0.9678184180027322,0.0021942456857506946,0.9799999999999999,0.0036056306178981327,0.010344733792205806,7.619455487858967e-05,0.022526315789473676,0.0007462716942732767,0
10,cauchy,Perturbed,0.926530612244898,0.0021356292517006794,0.926530612244898,0.0021356292517006794,0.926530612244898,0.0021356292517006794,0.926530612244898,0.0021356292517006794,0.926530612244898,0.0021356292517006794,0.98
11,cauchy,Single Blind,0.9761373299319732,0.0004423203471926966,0.9813813621722518,0.000437108233238574,0.9936390140471776,0.00016249542488609532,0.005244032240278752,1.1021660194127089e-05,0.017501684115204495,0.00018053722678621617,0
12,cauchy,Double Blind,0.9628356605800211,0.0005683381385795323,0.9734450814804646,0.0007058573748908028,0.987110633727175,0.0015617050144157367,0.010609420900443244,6.138867399414128e-05,0.024274973147153593,0.000753481447980854,0
13,t-distribution,Perturbed,0.9655999999999999,0.0009680000000000003,0.9655999999999999,0.0009680000000000003,0.9655999999999999,0.0009680000000000003,0.9655999999999999,0.0009680000000000003,0.9655999999999999,0.0009680000000000003,1.0
14,t-distribution,Single Blind,0.971197916666667,0.001588411569054706,0.977044515511539,0.001515300114951324,0.9880519480519483,0.001547839915186854,0.005846598844872277,1.85154039439301e-05,0.016854031385281364,0.00020252279796185283,0
15,t-distribution,Double Blind,0.9572631578947366,0.001566668551076942,0.9684828888660428,0.0015035599645190215,0.9863157894736841,0.00133529312001809,0.011219730971306083,8.360254707646855e-05,0.02905263157894738,0.000658307422692069,0
