,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,standard-normal,Perturbed,0.9855714285714284,0.00036988359788359755,0.9855714285714284,0.00036988359788359755,0.9855714285714284,0.00036988359788359755,0.9855714285714284,0.00036988359788359755,0.9855714285714284,0.00036988359788359755,0.56
2,standard-normal,Single Blind,0.7293526785714286,0.07471201883772415,0.7545036640533473,0.07864147786027799,0.820964749536178,0.08042524369054983,0.025150985481918773,0.000293440573476855,0.09161207096474952,0.0017092035942626298,0
3,standard-normal,Double Blind,0.7270676691729321,0.07683946708877455,0.7515297451304391,0.0804103269200646,0.8270676691729324,0.06891497750223512,0.02446207595750683,0.0003598860955863117,0.10000000000000002,0.00283574433158921,0
4,normal,Perturbed,0.9238124999999999,0.0009748364361702114,0.9238124999999999,0.0009748364361702114,0.9238124999999999,0.0009748364361702114,0.9238124999999999,0.0009748364361702114,0.9238124999999999,0.0009748364361702114,0.96
5,normal,Single Blind,0.738064236111111,0.058942597902506874,0.7673763939869601,0.0636344326358513,0.8419913419913422,0.06462525224614199,0.029312157875848965,0.00027597981996274466,0.10392710588023085,0.0011880874763330262,0
6,normal,Double Blind,0.7381578947368418,0.060246949961690374,0.7696773473998988,0.06511764923451038,0.8388157894736841,0.054860169741262434,0.03151945266305687,0.0006129138623374989,0.10065789473684215,0.002691842989332234,0
7,uniform,Perturbed,0.9821458333333332,0.003965276152482273,0.9821458333333332,0.003965276152482273,0.9821458333333332,0.003965276152482273,0.9821458333333332,0.003965276152482273,0.9821458333333332,0.003965276152482273,0.96
8,uniform,Single Blind,0.7457139756944443,0.052823399633192686,0.7750767140028207,0.05711477385604314,0.8474025974025977,0.05988236687324834,0.02936273830837623,0.0002736151182197576,0.10168862170815292,0.0013594720650667621,0
9,uniform,Double Blind,0.7432017543859648,0.055815357262136336,0.7746094130432226,0.06062956172566788,0.8399122807017543,0.05386436415787509,0.031407658657257996,0.0006164208267102873,0.09671052631578952,0.0028085401072670494,0
10,cauchy,Perturbed,0.8481489361702128,0.0011461729879740977,0.8481489361702128,0.0011461729879740977,0.8481489361702128,0.0011461729879740977,0.8481489361702128,0.0011461729879740977,0.8481489361702128,0.0011461729879740977,0.94
11,cauchy,Single Blind,0.7502216312056735,0.052975222022673844,0.7800460721642374,0.05714529419356137,0.8538270240397903,0.05915997334477101,0.029824440958563563,0.00026910870720930365,0.1036053928341162,0.0012088395000621117,0
12,cauchy,Double Blind,0.7498320268756996,0.05487275811613845,0.7816223521029922,0.05953557295966864,0.8488241881298991,0.051140192855184355,0.031790325227292686,0.0006226396612948002,0.09899216125419937,0.0026142819437219565,0
13,t-distribution,Perturbed,0.9666571428571427,0.006240584873949579,0.9666571428571427,0.006240584873949579,0.9666571428571427,0.006240584873949579,0.9666571428571427,0.006240584873949579,0.9666571428571427,0.006240584873949579,0.7
14,t-distribution,Single Blind,0.7228422619047618,0.06980079629508053,0.7487151276109042,0.07424493836999539,0.8189239332096476,0.07433991306085597,0.02587286570614232,0.00030553623575023544,0.09608167130488555,0.0017613144161424165,0
15,t-distribution,Double Blind,0.7196992481203004,0.07133182802206758,0.7453682342291753,0.07527958450013253,0.8165413533834586,0.06458716450569149,0.025668986108874588,0.00037223529556522833,0.0968421052631579,0.0024885123024278987,0
