,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,standard-normal,Perturbed,0.9677999999999999,0.0029113877551020413,0.9677999999999999,0.0029113877551020413,0.9677999999999999,0.0029113877551020413,0.9677999999999999,0.0029113877551020413,0.9677999999999999,0.0029113877551020413,1.0
2,standard-normal,Single Blind,0.9742187500000005,0.0007867445480796496,0.9798948570613895,0.0006458833625658545,0.9914285714285717,0.0004103662041642431,0.00567610706138957,3.8085704286222026e-05,0.0172098214285714,0.0004830182970800083,0
3,standard-normal,Double Blind,0.9602105263157891,0.000860602634405563,0.9709585842079735,0.0008950904969362569,0.9842105263157893,0.0020634292498162717,0.010748057892184243,8.157495535984592e-05,0.023999999999999994,0.0008142461416699658,0
4,normal,Perturbed,0.9684,0.0019075918367346934,0.9684,0.0019075918367346934,0.9684,0.0019075918367346934,0.9684,0.0019075918367346934,0.9684,0.0019075918367346934,1.0
5,normal,Single Blind,0.9752083333333339,0.000527376966411565,0.9807355243405428,0.0005131708343095439,0.9919480519480521,0.0004191779595967246,0.005527191007209355,1.117526470316717e-05,0.016739718614718582,0.00012951057580067377,0
6,normal,Double Blind,0.961473684210526,0.0004776301656396631,0.972087679201332,0.0006303699899119411,0.9863157894736841,0.0016744869693029565,0.010613994990805693,6.552120774151417e-05,0.0248421052631579,0.0008310701565944933,0
7,uniform,Perturbed,0.9653061224489797,0.002292091836734694,0.9653061224489797,0.002292091836734694,0.9653061224489797,0.002292091836734694,0.9653061224489797,0.002292091836734694,0.9653061224489797,0.002292091836734694,0.98
8,uniform,Single Blind,0.9692814625850344,0.0064281829810917375,0.974463063622352,0.006291326432949885,0.9864829048502519,0.0034151289120809437,0.005181601037317872,6.458346632547293e-06,0.01720144226521774,0.0005985087229868578,0
9,uniform,Double Blind,0.9546723952738987,0.00697693481824864,0.9652810351136211,0.006900518789273224,0.9817400644468313,0.004564983888292154,0.010608639839721962,5.083667170856571e-05,0.02706766917293234,0.0010664819944598356,0
10,cauchy,Perturbed,0.9253061224489795,0.0036254251700680255,0.9253061224489795,0.0036254251700680255,0.9253061224489795,0.0036254251700680255,0.9253061224489795,0.0036254251700680255,0.9253061224489795,0.0036254251700680255,0.98
11,cauchy,Single Blind,0.942761479591837,0.018646378636089835,0.9492967123119156,0.017762409587189894,0.9711105221309305,0.009376688776370726,0.0065352327200787,3.078956917287765e-05,0.028349042539093504,0.003498772440142644,0
12,cauchy,Double Blind,0.9284640171858214,0.017728437635441976,0.9409666609665338,0.016978038829856937,0.9720730397422125,0.008206606742419957,0.012502643780712322,8.440959391081432e-05,0.04360902255639102,0.005914127423822711,0
13,t-distribution,Perturbed,0.9675999999999999,0.002904326530612246,0.9675999999999999,0.002904326530612246,0.9675999999999999,0.002904326530612246,0.9675999999999999,0.002904326530612246,0.9675999999999999,0.002904326530612246,1.0
14,t-distribution,Single Blind,0.9600000000000004,0.013538389314058952,0.9649209431744378,0.013593710175558917,0.976623376623377,0.01087701061196955,0.0049209431744375,6.2614095137772425e-06,0.016623376623376592,0.00039108240681300896,0
15,t-distribution,Double Blind,0.9461052631578944,0.013846526089660218,0.956481050335677,0.014067937055310778,0.974736842105263,0.011220532534343356,0.010375787177782538,4.532509317206328e-05,0.02863157894736844,0.00048409746169936137,0
